z,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR,D_L,D_L MAX,D_L MIN,SD,cz
0.0211,0.9794,34.6693,0.2307,85.8737,95.4987,77.2187,9.14,6325.6112
0.0212,0.9793,34.375,0.2031,74.9894,82.3413,68.2939,7.0237,6355.5904
0.0212,0.9793,34.8194,0.1964,92.0195,100.7314,84.0611,8.3352,6355.5904
0.0212,0.9793,35.118,0.3107,105.5845,121.8252,91.5088,15.1582,6355.5904
0.0212,0.9793,35.2056,0.3041,109.931,126.4563,95.5651,15.4456,6355.5904
0.0213,0.9791,34.7561,0.1806,89.3758,97.1263,82.2438,7.4412,6385.5696
0.0213,0.9791,34.7344,0.1772,88.4871,96.0098,81.5539,7.2279,6385.5696
0.0213,0.9791,34.7419,0.1878,88.7933,96.8123,81.4384,7.6869,6385.5696
0.0213,0.9791,34.7627,0.34,89.6479,104.8417,76.6559,14.0929,6385.5696
0.0214,0.9791,34.3468,0.199,74.0219,81.1264,67.5395,6.7934,6415.5488
0.0215,0.9789,34.5899,0.1992,82.7904,90.7435,75.5344,7.6046,6445.528
0.0215,0.9789,34.6114,0.3933,83.6142,100.2178,69.7614,15.2282,6445.528
0.0217,0.9788,34.7709,0.1959,89.987,98.481,82.2257,8.1277,6505.4864
0.0218,0.9786,34.7583,0.2834,89.4664,101.9412,78.5182,11.7115,6535.4656
0.0218,0.9786,34.7742,0.2536,90.1239,101.2906,80.1883,10.5512,6535.4656
0.022,0.9785,34.8589,0.2464,93.7087,104.971,83.6547,10.6581,6595.424
0.022,0.9785,34.9654,0.217,98.4192,108.7614,89.0606,9.8504,6595.424
0.022,0.9784,34.6739,0.2478,86.0558,96.4577,76.7756,9.8411,6595.424
0.0221,0.9784,34.7477,0.1991,89.0307,97.5796,81.2309,8.1744,6625.4032
0.0221,0.9784,34.8847,0.186,94.8287,103.3108,87.0431,8.1339,6625.4032
0.0222,0.9783,35.0481,0.2886,102.2398,116.7741,89.5145,13.6298,6655.3824
0.0222,0.9783,35.0136,0.2162,100.6283,111.1608,91.0937,10.0336,6655.3824
0.0223,0.9782,34.8059,0.1802,91.4492,99.361,84.1674,7.5968,6685.3616
0.0223,0.9782,34.8234,0.2581,92.1892,103.825,81.8574,10.9838,6685.3616
0.0223,0.9782,34.9245,0.1698,96.5828,104.4401,89.3167,7.5617,6685.3616
0.0223,0.9781,34.7727,0.199,90.0617,98.7054,82.1749,8.2652,6685.3616
0.0223,0.9781,34.8704,0.2045,94.2063,103.5084,85.7401,8.8842,6685.3616
0.0224,0.9781,34.7814,0.2247,90.4232,100.2796,81.5356,9.372,6715.3408
0.0224,0.9781,34.7714,0.3027,90.0078,103.4691,78.2977,12.5857,6715.3408
0.0224,0.9781,34.8603,0.2431,93.7692,104.8779,83.8371,10.5204,6715.3408
0.0224,0.9781,34.759,0.2887,89.4953,102.2219,78.3531,11.9344,6715.3408
0.0224,0.9781,34.7997,0.2553,91.1885,102.5638,81.0748,10.7445,6715.3408
0.0224,0.9781,35.0392,0.2145,101.8216,112.3945,92.2433,10.0756,6715.3408
0.0226,0.9779,34.7306,0.2431,88.3324,98.798,78.9754,9.9113,6775.2992
0.0227,0.9778,34.8438,0.2205,93.0593,103.0076,84.0718,9.4679,6805.2784
0.0227,0.9778,34.8693,0.2033,94.1586,103.3999,85.7433,8.8283,6805.2784
0.0227,0.9778,34.6849,0.3583,86.4928,102.0105,73.3356,14.3375,6805.2784
0.023,0.9776,35.2685,0.3049,113.1618,130.2191,98.3389,15.9401,6895.216
0.023,0.9776,34.8584,0.2013,93.6871,102.786,85.3937,8.6961,6895.216
0.023,0.9775,34.9992,0.2674,99.9632,113.0612,88.3826,12.3393,6895.216
0.023,0.9775,34.9712,0.2373,98.6825,110.0771,88.4674,10.8048,6895.216
0.023,0.9775,34.985,0.1907,99.3116,108.4296,90.9603,8.7347,6895.216
0.0231,0.9775,34.7666,0.3403,89.809,105.048,76.7808,14.1336,6925.1952
0.0231,0.9774,35.0225,0.2712,101.0416,114.4838,89.1776,12.6531,6925.1952
0.0232,0.9774,34.883,0.275,94.7545,107.5459,83.4845,12.0307,6955.1744
0.0232,0.9773,34.9168,0.1785,96.241,104.4876,88.6452,7.9212,6955.1744
0.0233,0.9773,35.0537,0.2297,102.5038,113.9411,92.2146,10.8633,6985.1536
0.0233,0.9772,34.6478,0.267,85.0276,96.1507,75.1913,10.4797,6985.1536
0.0233,0.9772,34.4301,0.2794,76.9166,87.4792,67.6294,9.9249,6985.1536
0.0234,0.9771,34.9851,0.2826,99.3162,113.1191,87.1975,12.9608,7015.1328
0.0234,0.9771,35.0081,0.2217,100.3737,111.1625,90.632,10.2653,7015.1328
0.0234,0.9771,34.9783,0.2254,99.0057,109.835,89.2441,10.2954,7015.1328
0.0234,0.9771,34.8582,0.2603,93.6785,105.6075,83.097,11.2552,7015.1328
0.0234,0.9771,34.8582,0.1706,93.6785,101.3368,86.599,7.3689,7015.1328
0.0234,0.9771,34.8331,0.2638,92.6019,104.5621,82.0098,11.2761,7015.1328
0.0235,0.977,34.8391,0.2159,92.8581,102.5642,84.0706,9.2468,7045.112
0.0235,0.977,34.9998,0.2177,99.9908,110.536,90.4516,10.0422,7045.112
0.0236,0.977,35.0406,0.2066,101.8873,112.0558,92.6415,9.7072,7075.0912
0.0236,0.977,34.9509,0.2591,97.7642,110.1554,86.767,11.6942,7075.0912
0.0236,0.977,34.5715,0.2617,82.0918,92.6081,72.7697,9.9192,7075.0912
0.0237,0.9769,34.9543,0.274,97.9174,111.0882,86.3082,12.39,7105.0704
0.0237,0.9769,34.943,0.2098,97.4092,107.2902,88.4382,9.426,7105.0704
0.0239,0.9767,34.9949,0.1808,99.7654,108.4277,91.7952,8.3163,7165.0288
0.0239,0.9767,34.889,0.4037,95.0167,114.4299,78.897,17.7664,7165.0288
0.0239,0.9767,34.994,0.2774,99.7241,113.3122,87.7654,12.7734,7165.0288
0.0239,0.9766,34.8993,0.1903,95.4685,104.214,87.4568,8.3786,7165.0288
0.024,0.9766,35.1018,0.195,104.7997,114.647,95.7982,9.4244,7195.008
0.0241,0.9765,35.1049,0.3103,104.9494,121.0726,90.9733,15.0497,7224.9872
0.0241,0.9765,34.4711,0.3985,78.3827,94.1706,65.2416,14.4645,7224.9872
0.0241,0.9764,34.8782,0.2241,94.5453,104.8222,85.276,9.7731,7224.9872
0.0242,0.9764,34.9421,0.2083,97.3688,107.171,88.4632,9.3539,7254.9664
0.0242,0.9764,35.084,0.1836,103.9441,113.1126,95.5188,8.7969,7254.9664
0.0243,0.9763,35.1803,0.2323,108.6576,120.9234,97.636,11.6437,7284.9456
0.0243,0.9763,35.0771,0.1954,103.6144,113.3713,94.6971,9.3371,7284.9456
0.0243,0.9763,34.9871,0.1841,99.4077,108.2055,91.3252,8.4402,7284.9456
0.0243,0.9763,34.953,0.1981,97.8588,107.2044,89.3279,8.9383,7284.9456
0.0243,0.9763,35.2317,0.2352,111.2602,123.9884,99.8387,12.0748,7284.9456
0.0243,0.9762,35.0102,0.2019,100.4708,110.2629,91.5483,9.3573,7284.9456
0.0245,0.9761,35.008,0.162,100.3691,108.1441,93.153,7.4956,7344.904
0.0245,0.9761,35.0746,0.21,103.4952,114.0015,93.9571,10.0222,7344.904
0.0245,0.9761,34.9493,0.1709,97.6922,105.6901,90.2996,7.6952,7344.904
0.0246,0.976,35.1784,0.1891,108.5625,118.4411,99.5079,9.4666,7374.8832
0.0246,0.976,35.1061,0.2356,105.0074,117.0392,94.2126,11.4133,7374.8832
0.0246,0.976,35.0521,0.2313,102.4283,113.9389,92.0805,10.9292,7374.8832
0.0246,0.976,34.8898,0.234,95.0517,105.8655,85.3425,10.2615,7374.8832
0.0246,0.976,34.9528,0.2138,97.8498,107.974,88.675,9.6495,7374.8832
0.0246,0.976,34.807,0.1825,91.4956,99.5158,84.1217,7.697,7374.8832
0.0247,0.9759,34.8112,0.3176,91.6727,106.1107,79.1992,13.4557,7404.8624
0.0249,0.9757,35.0862,0.2405,104.0495,116.2383,93.1388,11.5498,7464.8208
0.0249,0.9757,35.1973,0.2285,109.5116,121.663,98.5738,11.5446,7464.8208
0.0251,0.9755,35.2152,0.2685,110.418,124.9526,97.5741,13.6893,7524.7792
0.0251,0.9755,34.8369,0.288,92.7641,105.9225,81.2403,12.3411,7524.7792
0.0251,0.9755,34.8482,0.1819,93.2481,101.3966,85.7544,7.8211,7524.7792
0.0251,0.9755,35.079,0.206,103.7051,114.0248,94.3194,9.8527,7524.7792
0.0251,0.9755,35.009,0.1769,100.4153,108.9376,92.5598,8.1889,7524.7792
0.0251,0.9755,35.0276,0.1902,101.2791,110.5502,92.7856,8.8823,7524.7792
0.0251,0.9755,34.4583,0.3333,77.922,90.8475,66.8355,12.006,7524.7792
0.0252,0.9754,34.9117,0.3065,96.0152,110.5699,83.3764,13.5967,7554.7584
0.0252,0.9754,35.1989,0.2383,109.5923,122.3027,98.2028,12.05,7554.7584
0.0252,0.9754,35.2277,0.2044,111.0555,122.0154,101.08,10.4677,7554.7584
0.0252,0.9754,35.1139,0.1553,105.3853,113.1988,98.1111,7.5439,7554.7584
0.0252,0.9754,35.1145,0.1748,105.4144,114.2523,97.2602,8.4961,7554.7584
0.0252,0.9754,34.9842,0.1853,99.275,108.1177,91.1556,8.4811,7554.7584
0.0253,0.9754,34.9441,0.2407,97.4586,108.8841,87.2319,10.8261,7584.7376
0.0253,0.9754,34.9063,0.2691,95.7767,108.411,84.6149,11.898,7584.7376
0.0253,0.9753,35.1882,0.1767,109.0536,118.2988,100.531,8.8839,7584.7376
0.0253,0.9753,35.1974,0.1859,109.5166,119.3074,100.5293,9.3891,7584.7376
0.0256,0.9751,35.1828,0.2337,108.7827,121.1448,97.6821,11.7313,7674.6752
0.0256,0.9751,35.0621,0.1902,102.9011,112.3196,94.2724,9.0236,7674.6752
0.0259,0.9748,34.7664,0.3447,89.8008,105.2491,76.6199,14.3146,7764.6128
0.0259,0.9747,35.1181,0.2002,105.5893,115.786,96.2906,9.7477,7764.6128
0.026,0.9747,35.4014,0.2005,120.304,131.9405,109.6937,11.1234,7794.592
0.026,0.9747,35.2931,0.1795,114.4511,124.3166,105.3685,9.474,7794.592
0.026,0.9747,35.1081,0.1982,105.1042,115.1512,95.9338,9.6087,7794.592
0.026,0.9747,34.835,0.3483,92.683,108.8085,78.9473,14.9306,7794.592
0.026,0.9747,35.3111,0.1787,115.4038,125.3043,106.2855,9.5094,7794.592
0.0263,0.9744,35.2855,0.2889,114.0512,130.2812,99.8431,15.219,7884.5296
0.0263,0.9744,35.3429,0.3232,117.1062,135.9021,100.9099,17.4961,7884.5296
0.0263,0.9744,35.0223,0.3723,101.0322,119.9304,85.112,17.4092,7884.5296
0.0267,0.974,35.308,0.1796,115.2391,125.1749,106.092,9.5415,8004.4464
0.0269,0.9738,35.2688,0.1834,113.1775,123.1501,104.0125,9.5688,8064.4048
0.0269,0.9738,35.2892,0.2059,114.2457,125.6078,103.9114,10.8482,8064.4048
0.027,0.9738,35.1184,0.1814,105.6039,114.8031,97.1418,8.8307,8094.384
0.0271,0.9736,35.2513,0.1868,112.269,122.3523,103.0168,9.6677,8124.3632
0.0271,0.9736,35.3224,0.2161,116.0059,128.142,105.0192,11.5614,8124.3632
0.0273,0.9734,35.2892,0.2989,114.2457,131.1056,99.554,15.7758,8184.3216
0.0273,0.9734,35.2673,0.1724,113.0993,122.4423,104.4693,8.9865,8184.3216
0.0273,0.9734,35.3437,0.2308,117.1494,130.286,105.3373,12.4744,8184.3216
0.0273,0.9734,35.1118,0.3466,105.2834,123.5032,89.7515,16.8758,8184.3216
0.0273,0.9734,35.227,0.2616,111.0197,125.2359,98.4172,13.4094,8184.3216
0.0274,0.9734,35.313,0.2201,115.5048,127.8284,104.3693,11.7296,8214.3008
0.0274,0.9733,35.3042,0.3529,115.0376,135.3351,97.7844,18.7753,8214.3008
0.0274,0.9733,35.5236,0.2253,127.2682,141.1846,114.7236,13.2305,8214.3008
0.0275,0.9733,35.113,0.1727,105.3416,114.063,97.2871,8.388,8244.28
0.0275,0.9733,35.1538,0.1869,107.3396,116.9853,98.4892,9.248,8244.28
0.0275,0.9733,35.1117,0.1703,105.2786,113.8673,97.3377,8.2648,8244.28
0.0277,0.973,35.3467,0.2899,117.3113,134.0649,102.6514,15.7067,8304.2384
0.028,0.9727,35.7258,0.3217,139.6883,161.9943,120.4537,20.7703,8394.176
0.0281,0.9727,35.1306,0.1848,106.1989,115.631,97.5362,9.0474,8424.1552
0.0281,0.9727,35.6739,0.2164,136.3892,150.6783,123.4552,13.6115,8424.1552
0.0282,0.9726,35.3613,0.1906,118.1027,128.9394,108.1769,10.3813,8454.1344
0.0282,0.9726,35.3174,0.1734,115.7391,125.3612,106.8555,9.2528,8454.1344
0.0282,0.9726,35.2874,0.2929,114.1511,130.6372,99.7455,15.4459,8454.1344
0.0282,0.9725,35.5061,0.1631,126.2467,136.0939,117.112,9.4909,8454.1344
0.0282,0.9725,35.5563,0.1602,129.1993,139.0925,120.0097,9.5414,8454.1344
0.0282,0.9725,35.558,0.161,129.3004,139.2506,120.0613,9.5946,8454.1344
0.0283,0.9725,35.2665,0.1775,113.0577,122.69,104.1816,9.2542,8484.1136
0.0284,0.9723,35.372,0.1603,118.6861,127.7792,110.2402,8.7695,8514.0928
0.0284,0.9723,35.3421,0.1565,117.0631,125.813,108.9217,8.4456,8514.0928
0.0285,0.9723,35.1049,0.1817,104.9494,114.1108,96.5235,8.7936,8544.072
0.0285,0.9723,35.4368,0.1803,122.2813,132.8692,112.5371,10.1661,8544.072
0.0285,0.9723,35.2913,0.1782,114.3563,124.1391,105.3444,9.3974,8544.072
0.0285,0.9723,35.359,0.1802,117.9777,128.1884,108.5804,9.804,8544.072
0.0285,0.9723,35.1963,0.3666,109.4611,129.5928,92.4569,18.568,8544.072
0.0286,0.9722,35.5996,0.235,131.8014,146.8662,118.2819,14.2922,8574.0512
0.0286,0.9722,35.6596,0.2514,135.494,152.1236,120.6823,15.7207,8574.0512
0.0287,0.9721,35.3449,0.2114,117.2141,129.1979,106.3419,11.428,8604.0304
0.0287,0.9721,35.4105,0.2019,120.8092,132.5813,110.0824,11.2495,8604.0304
0.0287,0.9721,34.9487,0.2277,97.6652,108.465,87.9408,10.2621,8604.0304
0.0289,0.9719,35.2763,0.6551,113.5691,153.5619,83.9917,34.7851,8663.9888
0.029,0.9718,35.4779,0.2754,124.6178,141.467,109.7753,15.8458,8693.968
0.029,0.9718,35.0558,0.2187,102.603,113.473,92.7742,10.3494,8693.968
0.0291,0.9717,35.5152,0.2508,126.7769,142.2996,112.9474,14.6761,8723.9472
0.0292,0.9717,35.6948,0.1833,137.7083,149.8404,126.5584,11.641,8753.9264
0.0292,0.9717,35.2391,0.1858,111.64,121.6143,102.4838,9.5652,8753.9264
0.0292,0.9716,35.6024,0.17,131.9715,142.7176,122.0345,10.3415,8753.9264
0.0294,0.9715,35.6222,0.3,133.1803,152.9091,115.997,18.456,8813.8848
0.0294,0.9715,35.472,0.2258,124.2796,137.8958,112.008,12.9439,8813.8848
0.0294,0.9714,35.2761,0.1809,113.5586,123.425,104.4809,9.472,8813.8848
0.0295,0.9714,35.0939,0.2727,104.4191,118.391,92.0961,13.1475,8843.864
0.0295,0.9714,35.6079,0.2242,132.3061,146.6988,119.3255,13.6866,8843.864
0.0295,0.9713,35.3638,0.2837,118.2388,134.7437,103.7556,15.494,8843.864
0.0295,0.9713,35.4654,0.1779,123.9025,134.4786,114.1581,10.1602,8843.864
0.0296,0.9713,35.5064,0.1909,126.2641,137.8666,115.6381,11.1142,8873.8432
0.0297,0.9712,35.2781,0.1941,113.6632,124.2924,103.9431,10.1746,8903.8224
0.0298,0.9711,35.5015,0.1904,125.9795,137.5225,115.4054,11.0585,8933.8016
0.0298,0.9711,35.5116,0.1908,126.5669,138.1903,115.9211,11.1346,8933.8016
0.0299,0.971,35.4354,0.1853,122.2025,133.0905,112.2052,10.4426,8963.7808
0.03,0.9709,35.861,0.1925,148.662,162.4443,136.0491,13.1976,8993.76
0.0301,0.9708,35.5195,0.1961,127.0282,139.0329,116.06,11.4865,9023.7392
0.0301,0.9708,35.4838,0.1993,124.9568,136.968,113.9989,11.4845,9023.7392
0.0301,0.9708,35.4761,0.2335,124.5145,138.6493,111.8207,13.4143,9023.7392
0.0302,0.9707,35.5185,0.166,126.9697,137.0574,117.6244,9.7165,9053.7184
0.0303,0.9706,35.5542,0.2163,129.0744,142.5918,116.8383,12.8767,9083.6976
0.0304,0.9705,35.4803,0.1738,124.7556,135.1515,115.1593,9.9961,9113.6768
0.0305,0.9704,35.5345,0.2582,127.9087,144.0621,113.5665,15.2478,9143.656
0.0306,0.9703,35.3586,0.1645,117.956,127.24,109.3494,8.9453,9173.6352
0.0308,0.9702,35.3522,0.3432,117.6088,137.7436,100.4173,18.6631,9233.5936
0.0308,0.9702,35.6084,0.2127,132.3366,145.9534,119.9902,12.9816,9233.5936
0.0308,0.9701,35.4648,0.2787,123.8682,140.8345,108.9459,15.9443,9233.5936
0.0309,0.9701,35.4164,0.1848,121.1379,131.901,111.253,10.324,9263.5728
0.0309,0.97,35.4926,0.1665,125.4643,135.4613,116.205,9.6281,9263.5728
0.031,0.97,35.6481,0.2067,134.7783,148.2362,122.5422,12.847,9293.552
0.0311,0.9699,35.9224,0.3993,152.9255,183.7978,127.2388,28.2795,9323.5312
0.0311,0.9699,35.406,0.3321,120.5591,140.483,103.4609,18.5111,9323.5312
0.0311,0.9699,35.3374,0.3753,116.81,138.8476,98.2701,20.2887,9323.5312
0.0311,0.9698,35.565,0.1837,129.7179,141.1706,119.1943,10.9882,9323.5312
0.0311,0.9698,35.67,0.2368,136.1445,151.8333,122.0768,14.8783,9323.5312
0.0311,0.9698,35.5409,0.1849,128.2862,139.688,117.8151,10.9365,9323.5312
0.0312,0.9698,35.5877,0.1691,131.0811,141.6964,121.261,10.2177,9353.5104
0.0312,0.9698,35.5304,0.2836,127.6674,145.4777,112.0375,16.7201,9353.5104
0.0312,0.9698,35.6675,0.1745,135.9878,147.369,125.4856,10.9417,9353.5104
0.0312,0.9697,35.4957,0.176,125.6435,136.2482,115.8642,10.192,9353.5104
0.0312,0.9697,35.5793,0.1487,130.575,139.8286,121.9338,8.9474,9353.5104
0.0312,0.9697,35.4841,0.1538,124.9741,134.1469,116.4285,8.8592,9353.5104
0.0312,0.9697,35.772,0.2242,142.6921,158.2143,128.6928,14.7607,9353.5104
0.0312,0.9697,35.7428,0.2268,140.7862,156.2834,126.8257,14.7289,9353.5104
0.0312,0.9697,35.7867,0.2167,143.6614,158.7347,130.0194,14.3576,9353.5104
0.0313,0.9696,35.6231,0.3209,133.2355,154.4533,114.9325,19.7604,9383.4896
0.0314,0.9695,35.6461,0.1962,134.6542,147.3882,123.0204,12.1839,9413.4688
0.0314,0.9695,35.5602,0.1856,129.4315,140.9784,118.8304,11.074,9413.4688
0.0315,0.9695,35.9119,0.2739,152.1879,172.6475,134.1528,19.2473,9443.448
0.0315,0.9695,35.7017,0.1643,138.1465,149.004,128.0803,10.4618,9443.448
0.0315,0.9695,35.707,0.2206,138.4841,153.2901,125.1083,14.0909,9443.448
0.0316,0.9693,35.6474,0.1942,134.7349,147.3425,123.206,12.0682,9473.4272
0.0316,0.9693,35.6847,0.1881,137.0692,149.4704,125.697,11.8867,9473.4272
0.0317,0.9693,35.7279,0.1781,139.8234,151.7714,128.8161,11.4777,9503.4064
0.0319,0.9691,35.4592,0.2761,123.5492,140.2984,108.7996,15.7494,9563.3648
0.032,0.969,35.4896,0.1487,125.291,134.1699,116.9998,8.5851,9593.344
0.0324,0.9687,35.6746,0.2021,136.4332,149.7414,124.3077,12.7169,9713.2608
0.0326,0.9685,35.576,0.1968,130.3767,142.7456,119.0796,11.833,9773.2192
0.0326,0.9684,35.8562,0.2588,148.3338,167.1097,131.6674,17.7211,9773.2192
0.0326,0.9684,35.8577,0.2946,148.4363,170.0058,129.6033,20.2012,9773.2192
0.0326,0.9684,35.8808,0.19,150.0237,163.745,137.4523,13.1463,9773.2192
0.0326,0.9684,35.6656,0.2745,135.8689,154.1789,119.7333,17.2228,9773.2192
0.0326,0.9684,35.9082,0.1982,151.9288,166.4461,138.6776,13.8842,9773.2192
0.0327,0.9683,35.6638,0.156,135.7563,145.8713,126.3427,9.7643,9803.1984
0.0327,0.9683,35.6366,0.1699,134.0664,144.9746,123.979,10.4978,9803.1984
0.0327,0.9683,35.6431,0.1484,134.4683,143.9807,125.5844,9.1981,9803.1984
0.0328,0.9682,35.6329,0.204,133.8382,147.023,121.8358,12.5936,9833.1776
0.0329,0.9682,35.8381,0.1787,147.1025,159.7172,135.4841,12.1166,9863.1568
0.0329,0.9681,35.7248,0.1536,139.624,149.8546,130.0918,9.8814,9863.1568
0.0329,0.9681,35.7992,0.326,144.4907,167.8976,124.3471,21.7752,9863.1568
0.033,0.9681,35.7324,0.2202,140.1135,155.0665,126.6024,14.232,9893.136
0.033,0.9681,35.8907,0.2257,150.7093,167.22,135.8288,15.6956,9893.136
0.033,0.9681,35.6164,0.168,132.8251,143.5103,122.9354,10.2874,9893.136
0.0333,0.9677,35.6643,0.1509,135.7876,145.5625,126.6691,9.4467,9983.0736
0.0333,0.9677,35.7268,0.1626,139.7526,150.6214,129.6682,10.4766,9983.0736
0.0334,0.9677,35.8159,0.199,145.6062,159.5777,132.858,13.3598,10013.0528
0.0334,0.9677,35.8647,0.151,148.9155,159.6384,138.9129,10.3628,10013.0528
0.0334,0.9677,35.8516,0.1436,148.0199,158.1408,138.5467,9.797,10013.0528
0.0337,0.9674,35.7797,0.1597,143.199,154.1274,133.0455,10.5409,10102.9904
0.0337,0.9674,35.829,0.2737,146.4873,166.1631,129.1414,18.5109,10102.9904
0.0338,0.9674,36.0229,0.243,160.1696,179.1363,143.211,17.9626,10132.9696
0.0338,0.9673,35.8276,0.2591,146.3929,164.9473,129.9256,17.5108,10132.9696
0.0339,0.9672,35.9089,0.1772,151.9777,164.9007,140.0675,12.4166,10162.9488
0.034,0.9671,35.7587,0.313,141.8208,163.8073,122.7854,20.5109,10192.928
0.0343,0.9669,35.9188,0.2074,152.6722,167.9744,138.764,14.6052,10282.8656
0.0343,0.9669,35.9378,0.2113,154.0139,169.7552,139.7323,15.0115,10282.8656
0.0344,0.9668,35.7837,0.2171,143.463,158.5459,129.815,14.3654,10312.8448
0.0344,0.9667,35.825,0.3406,146.2177,171.0493,124.991,23.0291,10312.8448
0.0345,0.9666,35.9757,0.3581,156.7256,184.8232,132.8995,25.9619,10342.824
0.0346,0.9666,35.7348,0.1557,140.2685,150.6923,130.5656,10.0634,10372.8032
0.0348,0.9664,35.8566,0.2058,148.3611,163.1078,134.9477,14.08,10432.7616
0.0349,0.9663,35.9118,0.1656,152.1808,164.2428,141.0047,11.6191,10462.7408
0.0351,0.9661,35.8816,0.1693,150.079,162.2502,138.8209,11.7147,10522.6992
0.0352,0.966,35.8937,0.2117,150.9176,166.3692,136.9012,14.734,10552.6784
0.0352,0.966,35.8012,0.4833,144.6239,180.6783,115.7641,32.4571,10552.6784
0.0352,0.966,35.8038,0.4821,144.7971,180.7887,115.9708,32.409,10552.6784
0.0352,0.966,35.8349,0.3342,146.8859,171.3257,125.9324,22.6966,10552.6784
0.0353,0.9659,35.861,0.1686,148.662,160.6645,137.5561,11.5542,10582.6576
0.0355,0.9657,35.9905,0.3748,157.7975,187.5273,132.7809,27.3732,10642.616
0.0357,0.9655,36.234,0.1885,176.5225,192.5267,161.8486,15.339,10702.5744
0.0358,0.9655,35.9591,0.2252,155.5321,172.526,140.2121,16.157,10732.5536
0.0358,0.9655,36.1545,0.2303,170.1767,189.2185,153.0511,18.0837,10732.5536
0.0358,0.9654,35.9325,0.2042,153.6385,168.7899,139.8471,14.4714,10732.5536
0.0359,0.9654,35.5515,0.2043,128.914,141.6332,117.337,12.1481,10762.5328
0.036,0.9653,35.9909,0.1872,157.8265,172.0351,144.7915,13.6218,10792.512
0.0362,0.9651,35.8586,0.2235,148.4978,164.5949,133.9749,15.31,10852.4704
0.0362,0.965,36.1845,0.1872,172.5441,188.0828,158.2891,14.8968,10852.4704
0.0364,0.9649,36.0035,0.1853,158.745,172.8822,145.7638,13.5592,10912.4288
0.0368,0.9645,35.9282,0.1566,153.3345,164.8011,142.6658,11.0676,11032.3456
0.0368,0.9645,35.8836,0.1851,150.2173,163.5844,137.9425,12.8209,11032.3456
0.037,0.9643,36.0748,0.2893,164.0439,187.4204,143.5831,21.9187,11092.304
0.037,0.9643,35.8056,0.3082,144.9172,167.0141,125.7439,20.6351,11092.304
0.037,0.9643,35.9287,0.3185,153.3699,177.5964,132.4481,22.5741,11092.304
0.037,0.9643,36.0695,0.175,163.644,177.3801,150.9715,13.2043,11092.304
0.037,0.9643,36.08,0.3368,164.4372,192.027,140.8113,25.6079,11092.304
0.0371,0.9643,35.9637,0.1666,155.8619,168.2879,144.3534,11.9673,11122.2832
0.0371,0.9643,36.0475,0.1663,161.9944,174.8911,150.0487,12.4212,11122.2832
0.0373,0.9641,36.0067,0.1352,158.9791,169.1931,149.3817,9.9057,11182.2416
0.0373,0.9641,35.9927,0.1492,157.9574,169.19,147.4705,10.8598,11182.2416
0.0373,0.964,35.8698,0.1897,149.2657,162.8913,136.7798,13.0558,11182.2416
0.0374,0.9639,35.9789,0.1637,156.9568,169.2453,145.5605,11.8424,11212.2208
0.0375,0.9638,35.949,0.2626,154.8104,174.7116,137.176,18.7678,11242.2
0.0376,0.9638,36.3333,0.1712,184.7821,199.9446,170.7695,14.5875,11272.1792
0.0376,0.9638,36.2185,0.1713,175.2669,189.6567,161.969,13.8439,11272.1792
0.0379,0.9635,36.0063,0.2067,158.9498,174.82,144.5203,15.1499,11362.1168
0.0379,0.9635,36.0624,0.163,163.1098,175.8254,151.3138,12.2558,11362.1168
0.038,0.9634,36.0889,0.1989,165.1125,180.9486,150.6624,15.1431,11392.096
0.0382,0.9632,35.8938,0.1517,150.9246,161.8471,140.7392,10.5539,11452.0544
0.0382,0.9632,35.8617,0.1527,148.7099,159.544,138.6115,10.4663,11452.0544
0.0383,0.9631,36.1141,0.2362,167.0398,186.2304,149.8268,18.2018,11482.0336
0.0383,0.9631,36.5177,0.2458,201.1592,225.2689,179.63,22.8195,11482.0336
0.0385,0.963,36.2254,0.3112,175.8247,202.9166,152.35,25.2833,11541.992
0.0385,0.9629,36.2564,0.15,178.3528,191.1062,166.4505,12.3278,11541.992
0.0387,0.9627,36.0125,0.1704,159.4043,172.413,147.3771,12.5179,11601.9504
0.0388,0.9626,36.026,0.2195,160.3984,177.4604,144.9768,16.2418,11631.9296
0.039,0.9624,36.0125,0.2047,159.4043,175.163,145.0633,15.0498,11691.888
0.0391,0.9624,36.1962,0.2208,173.4762,192.0456,156.7024,17.6716,11721.8672
0.0391,0.9624,36.2125,0.1835,174.7833,190.1971,160.6187,14.7892,11721.8672
0.0401,0.9614,36.284,0.1479,180.6342,193.366,168.7407,12.3127,12021.6592
0.0404,0.9612,36.5486,0.2346,204.0422,227.3249,183.1441,22.0904,12111.5968
0.0406,0.961,36.0167,0.1435,159.7129,170.6218,149.5014,10.5602,12171.5552
0.0406,0.961,36.0818,0.145,164.5735,175.9365,153.9444,10.996,12171.5552
0.0408,0.9608,35.9918,0.2105,157.892,173.9614,143.3069,15.3272,12231.5136
0.0409,0.9607,36.1263,0.1688,167.9809,181.5629,155.415,13.0739,12261.4928
0.041,0.9607,36.4104,0.3072,191.4609,220.5553,166.2044,27.1754,12291.472
0.041,0.9606,36.0403,0.1472,161.4582,172.7862,150.8728,10.9567,12291.472
0.041,0.9606,36.3153,0.1508,183.2568,196.435,170.9626,12.7362,12291.472
