z,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR,D_L,D_L MAX,D_L MIN,SD,cz
0.0067,0.9934,31.2217,0.4207,17.5525,21.305,14.461,3.422,2008.6064
0.0067,0.9933,32.3593,0.3594,29.6388,34.9743,25.1172,4.9286,2008.6064
0.0068,0.9933,31.9733,0.4155,24.8119,30.0437,20.4912,4.7762,2038.5856
0.0068,0.9933,32.1951,0.3405,27.4802,32.1459,23.4917,4.3271,2038.5856
0.0068,0.9933,32.1729,0.3711,27.2007,32.2704,22.9274,4.6715,2038.5856
0.0068,0.9933,32.2048,0.348,27.6032,32.4004,23.5164,4.442,2038.5856
0.0069,0.9931,32.4405,0.4396,30.7681,37.6727,25.1289,6.2719,2068.5648
0.0071,0.993,32.3193,0.3256,29.0978,33.8047,25.0463,4.3792,2128.5232
0.0071,0.993,32.3327,0.3483,29.2779,34.3719,24.9389,4.7165,2128.5232
0.0071,0.993,32.3221,0.3227,29.1353,33.8027,25.1124,4.3451,2128.5232
0.0072,0.9929,32.4423,0.3003,30.7936,35.3608,26.8163,4.2723,2158.5024
0.0072,0.9929,32.4642,0.3003,31.1057,35.7185,27.0886,4.315,2158.5024
0.0075,0.9926,32.7943,0.2891,36.2126,41.3701,31.6981,4.836,2248.44
0.0075,0.9926,32.7423,0.2948,35.3557,40.496,30.868,4.814,2248.44
0.0075,0.9926,32.7685,0.2924,35.7849,40.9432,31.2765,4.8334,2248.44
0.0075,0.9926,32.3312,0.3738,29.2577,34.7543,24.6304,5.062,2248.44
0.0075,0.9926,32.2998,0.3967,28.8377,34.6171,24.0231,5.297,2248.44
0.008,0.9921,32.6418,0.3627,33.7567,39.8937,28.5638,5.6649,2398.336
0.0081,0.9919,32.7164,0.317,34.9365,40.4284,30.1907,5.1188,2428.3152
0.0081,0.9919,32.6151,0.3175,33.3442,38.5933,28.809,4.8921,2428.3152
0.0081,0.9919,32.7092,0.3676,34.8209,41.2431,29.3988,5.9221,2428.3152
0.0082,0.9919,32.3711,0.3719,29.8003,35.3676,25.1093,5.1291,2458.2944
0.0082,0.9919,32.7434,0.2801,35.3737,40.2448,31.0921,4.5763,2458.2944
0.0082,0.9919,32.6707,0.287,34.209,39.0423,29.974,4.5341,2458.2944
0.0082,0.9919,32.4455,0.4908,30.839,38.6596,24.6004,7.0296,2458.2944
0.0082,0.9919,32.484,0.3427,31.3906,36.7564,26.8082,4.9741,2458.2944
0.0082,0.9919,33.2138,0.4628,43.9299,54.3659,35.4971,9.4344,2458.2944
0.0084,0.9917,32.521,0.4656,31.9301,39.566,25.7678,6.8991,2518.2528
0.0084,0.9917,32.6922,0.4849,34.5494,43.193,27.6355,7.7787,2518.2528
0.0086,0.9915,32.6928,0.3592,34.5589,40.7759,29.2898,5.7431,2578.2112
0.0086,0.9915,32.852,0.318,37.1878,43.0533,32.1213,5.466,2578.2112
